City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Begles,FR,66.69,clear sky,44.8084,-0.5481,Clos des Boulevards
536,Paita,PE,65.12,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
537,Presidente Epitacio,BR,75.29,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
540,Saint-Denis,FR,66.97,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
541,Adamantina,BR,72.84,scattered clouds,-21.6853,-51.0725,Abaporu Hotéis
542,Oxford,GB,65.05,clear sky,51.7522,-1.256,Malmaison Oxford
543,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
546,Hobyo,SO,75.02,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
548,Atsipopoulon,GR,72.25,clear sky,35.35,24.4333,Thalassa Boutique Hotel
549,Andijon,UZ,72.68,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
555,Basoko,CD,72.48,broken clouds,1.2391,23.616,Jackyna Hotel
556,Vitina,BA,72.57,clear sky,43.2375,17.4839,Adria centar Koćuša
561,Kreuzau,DE,68.16,broken clouds,50.75,6.4833,Hotel am See Obermaubach
562,Ostersund,SE,68.45,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
564,Marienburg,PL,70.88,clear sky,54.0359,19.0266,Hotel Centrum Malbork
566,Grand Gaube,MU,68.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
571,Dhidhdhoo,MV,79.81,overcast clouds,6.8833,73.1,Dhidhoo beach
572,Borgo San Dalmazzo,IT,75.81,broken clouds,44.333,7.4858,hotel ristorante pizzeria Le Lanterne
573,Eyl,SO,74.52,scattered clouds,7.9803,49.8164,Amiin Hotel
575,Santander,ES,68.72,broken clouds,43.4647,-3.8044,Abba Santander Hotel
577,Zharkent,KZ,66.09,clear sky,44.1628,80.0,гостиница Satti
582,Hubli,IN,70.36,broken clouds,15.35,75.1667,Hotel Swathi
585,Guayabetal,CO,67.37,overcast clouds,4.2147,-73.8172,Hotel Finca el Recreo
586,Tangara,BR,69.69,overcast clouds,-6.1994,-35.8017,Pousada Gonçalves
587,Gurupa,BR,77.11,broken clouds,-1.405,-51.64,Hotel Vitória
588,Kraliky,CZ,71.35,broken clouds,50.0838,16.7605,Ubytování Chalupa
593,Oriximina,BR,78.42,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
594,Puerto Ayacucho,VE,76.42,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
597,Kotido,UG,68.72,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
599,Ayagoz,KZ,67.42,scattered clouds,47.9714,80.4392,ХАН
600,Sechura,PE,69.26,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
601,Carutapera,BR,76.14,broken clouds,-1.195,-46.02,Lidera
606,Prata,BR,71.73,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
610,Tire,TR,67.48,clear sky,38.0888,27.7351,Tire Belediyesi Gülcüoğlu Konakları
